"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.541208338E-3,-1.628164215E0,1.040935364E0,8.854985962E0,9.063401212E0
1.356720834E-2,-1.749412079E0,1.404379578E0,8.950786743E0,9.227638265E0
2.359220834E-2,-2.262395325E0,1.911824341E0,8.664581909E0,9.156881815E0
3.361820834E-2,-2.320175171E0,2.498454437E0,8.614436188E0,9.264663957E0
4.364420834E-2,-2.306703186E0,3.279230804E0,8.475525055E0,9.375967108E0
5.367020832E-2,-2.534230042E0,4.329746246E0,7.945926361E0,9.397168201E0
6.369520834E-2,-2.966830444E0,5.496120758E0,7.381001129E0,9.668950509E0
7.372120832E-2,-3.516337738E0,6.588099976E0,6.695726166E0,1.002997713E1
8.374720832E-2,-3.887565765E0,7.366032257E0,5.716312866E0,1.010187268E1
9.377320833E-2,-4.484973450E0,7.687563629E0,5.048701172E0,1.023244863E1
1.037982083E-1,-5.566025391E0,7.773634644E0,4.470004578E0,1.055419230E1
1.138242083E-1,-6.068530426E0,8.004454651E0,4.384981384E0,1.096021978E1
1.238502083E-1,-6.279292145E0,7.957153015E0,4.978796539E0,1.129310449E1
1.338762083E-1,-7.502248993E0,7.148085480E0,5.096601562E0,1.154790948E1
1.439022083E-1,-6.894812164E0,6.522835693E0,5.629942474E0,1.103549149E1
1.539272083E-1,-5.306914215E0,5.466482391E0,7.102580109E0,1.041596911E1
1.639532083E-1,-4.492158508E0,3.608246613E0,7.768395538E0,9.671964688E0
1.739792083E-1,-4.227658539E0,2.669099579E0,7.332352295E0,8.874715740E0
1.840052083E-1,-4.712051239E0,2.252216492E0,7.318131866E0,8.990603985E0
1.940312083E-1,-6.358327789E0,1.490151215E0,7.546706543E0,9.980063255E0
2.040562083E-1,-6.845863953E0,1.776505737E0,8.380173340E0,1.096581648E1
2.140822083E-1,-6.968309326E0,2.032922516E0,8.856333160E0,1.145097139E1
2.241082083E-1,-6.668632507E0,2.244432678E0,8.831484833E0,1.129173423E1
2.341342083E-1,-5.979615326E0,2.451003113E0,8.320447540E0,1.053532453E1
2.441592083E-1,-5.178930359E0,2.678829346E0,7.642207947E0,9.612532893E0
2.541852083E-1,-4.509522400E0,2.991379395E0,6.996151428E0,8.844788170E0
2.642112083E-1,-4.074976044E0,3.342998199E0,6.510411530E0,8.376546126E0
2.742372083E-1,-4.002826080E0,3.793261871E0,6.329437866E0,8.394833885E0
2.842632083E-1,-4.315825195E0,4.365521851E0,6.534661102E0,8.965819754E0
2.942882083E-1,-5.044210510E0,5.043013000E0,7.141499176E0,1.009341618E1
3.043142083E-1,-6.061794434E0,5.768703918E0,8.021968231E0,1.159203481E1
3.143402083E-1,-7.225474548E0,6.427783356E0,9.027876434E0,1.322975564E1
3.243662083E-1,-8.364905090E0,6.976392517E0,1.004740631E1,1.481863905E1
3.343912083E-1,-9.442963257E0,7.444169769E0,1.115734818E1,1.640340321E1
3.444172083E-1,-1.028571075E1,7.818241882E0,1.218780533E1,1.776128798E1
3.544432083E-1,-1.061427750E1,7.897576904E0,1.273581573E1,1.836397588E1
3.644692083E-1,-1.023526566E1,7.567213898E0,1.251173172E1,1.784844026E1
3.744952083E-1,-9.649982758E0,7.161707153E0,1.205832458E1,1.702396571E1
3.845202083E-1,-9.286538544E0,7.004384308E0,1.195099777E1,1.667715639E1
3.945462083E-1,-8.843759308E0,6.808441772E0,1.165835632E1,1.613952385E1
4.045722083E-1,-8.544082489E0,6.736142120E0,1.134580627E1,1.571955077E1
4.145982083E-1,-8.530161438E0,6.844965820E0,1.156989029E1,1.592104182E1
4.246232083E-1,-8.604856110E0,7.005282440E0,1.179053146E1,1.619055783E1
4.346492083E-1,-8.524922333E0,7.030879211E0,1.174487640E1,1.612605609E1
4.446752083E-1,-8.193511505E0,6.858288116E0,1.138277939E1,1.561209189E1
4.547012083E-1,-7.699389038E0,6.560706940E0,1.088611221E1,1.486038042E1
4.647272083E-1,-7.162156219E0,6.211782532E0,1.037432648E1,1.405380282E1
4.747522083E-1,-6.529272308E0,5.712870026E0,9.745035095E0,1.304737482E1
4.847782083E-1,-5.939947815E0,5.141657867E0,9.068891144E0,1.199851709E1
4.948042083E-1,-5.529651031E0,4.567451935E0,8.538394318E0,1.115091186E1
5.048302083E-1,-5.482199707E0,4.128414917E0,8.354426880E0,1.081178856E1
5.148562083E-1,-5.745801544E0,3.807631989E0,8.497978363E0,1.094202600E1
5.248812083E-1,-6.174659729E0,3.516487427E0,8.724307709E0,1.125191768E1
5.349072083E-1,-6.765032043E0,3.320993958E0,9.136849823E0,1.184384583E1
