,theta,phi,dtheta,dphi,position_x,position_y,position_z,timestep
0,1.0,1.0,1.0,1.0,-0.526756,0.63871,0.056786,6.133333
1,1.0,1.0,1.0,1.0,-0.525228,0.637132,0.055429,6.141667
2,1.0,1.0,1.0,1.0,-0.523363,0.634532,0.054857,6.15
3,1.0,1.0,1.0,1.0,-0.520857,0.631002,0.054349,6.158333
4,1.0,1.0,1.0,1.0,-0.517678,0.62668,0.053909,6.166667
5,1.0,1.0,1.0,1.0,-0.513443,0.621605,0.052881,6.175
6,1.0,1.0,1.0,1.0,-0.510294,0.615593,0.052271,6.183333
7,1.0,1.0,1.0,1.0,-0.50582,0.609083,0.051806,6.191667
8,1.0,1.0,1.0,1.0,-0.500738,0.601772,0.051289,6.2
9,1.0,1.0,1.0,1.0,-0.495069,0.594004,0.050654,6.208333
10,1.0,1.0,1.0,1.0,-0.489395,0.585306,0.049715,6.216667
11,1.0,1.0,1.0,1.0,-0.482369,0.578099,0.049153,6.225
12,1.0,1.0,1.0,1.0,-0.475309,0.570656,0.048426,6.233333
13,1.0,1.0,1.0,1.0,-0.467945,0.563534,0.047803,6.241667
14,1.0,1.0,1.0,1.0,-0.460391,0.556493,0.047353,6.25
15,1.0,1.0,1.0,1.0,-0.452644,0.54945,0.046917,6.258333
16,1.0,1.0,1.0,1.0,-0.444634,0.542212,0.046493,6.266667
17,1.0,1.0,1.0,1.0,-0.436202,0.534884,0.046104,6.275
18,1.0,1.0,1.0,1.0,-0.427347,0.527385,0.045728,6.283333
19,1.0,1.0,1.0,1.0,-0.417877,0.519728,0.045356,6.291667
20,1.0,1.0,1.0,1.0,-0.407643,0.511869,0.044861,6.3
21,1.0,1.0,1.0,1.0,-0.39666,0.5037,0.044133,6.308333
22,1.0,1.0,1.0,1.0,-0.384948,0.495267,0.043389,6.316667
23,1.0,1.0,1.0,1.0,-0.372495,0.486568,0.042509,6.325
24,1.0,1.0,1.0,1.0,-0.359425,0.477635,0.041541,6.333333
25,1.0,1.0,1.0,1.0,-0.345806,0.46865,0.040488,6.341667
26,1.0,1.0,1.0,1.0,-0.331707,0.459894,0.039473,6.35
27,1.0,1.0,1.0,1.0,-0.316765,0.452009,0.03877,6.358333
28,1.0,1.0,1.0,1.0,-0.30214,0.444332,0.037936,6.366667
29,1.0,1.0,1.0,1.0,-0.28722,0.437207,0.037224,6.375
30,1.0,1.0,1.0,1.0,-0.272233,0.430673,0.036425,6.383333
31,1.0,1.0,1.0,1.0,-0.257284,0.423974,0.035532,6.391667
32,1.0,1.0,1.0,1.0,-0.241547,0.417929,0.034823,6.4
33,1.0,1.0,1.0,1.0,-0.225336,0.412082,0.033976,6.408333
34,1.0,1.0,1.0,1.0,-0.208547,0.406486,0.033151,6.416667
35,1.0,1.0,1.0,1.0,-0.191126,0.401145,0.032221,6.425
36,1.0,1.0,1.0,1.0,-0.172465,0.397073,0.032035,6.433333
37,1.0,1.0,1.0,1.0,-0.153843,0.392566,0.030934,6.441667
38,1.0,1.0,1.0,1.0,-0.134814,0.38855,0.029864,6.45
39,1.0,1.0,1.0,1.0,-0.115705,0.385082,0.028799,6.458333
40,1.0,1.0,1.0,1.0,-0.09666,0.382252,0.027841,6.466667
41,1.0,1.0,1.0,1.0,-0.077696,0.379886,0.026905,6.475
42,1.0,1.0,1.0,1.0,-0.058972,0.37825,0.02608,6.483333
43,1.0,1.0,1.0,1.0,-0.040329,0.377225,0.025214,6.491667
44,1.0,1.0,1.0,1.0,-0.021729,0.376831,0.02445,6.5
45,1.0,1.0,1.0,1.0,-0.002961,0.376838,0.023647,6.508333
46,1.0,1.0,1.0,1.0,0.015822,0.377491,0.022721,6.516667
47,1.0,1.0,1.0,1.0,0.035348,0.378082,0.021741,6.525
48,1.0,1.0,1.0,1.0,0.05393,0.380127,0.020854,6.533333
49,1.0,1.0,1.0,1.0,0.073716,0.381673,0.019705,6.541667
50,1.0,1.0,1.0,1.0,0.092799,0.384284,0.01871,6.55
51,1.0,1.0,1.0,1.0,0.11149,0.387566,0.017628,6.558333
52,1.0,1.0,1.0,1.0,0.130028,0.391134,0.016813,6.566667
53,1.0,1.0,1.0,1.0,0.147881,0.395402,0.015898,6.575
54,1.0,1.0,1.0,1.0,0.165335,0.400192,0.015251,6.583333
55,1.0,1.0,1.0,1.0,0.182545,0.405717,0.014511,6.591667
56,1.0,1.0,1.0,1.0,0.199181,0.411313,0.013878,6.6
57,1.0,1.0,1.0,1.0,0.21554,0.417234,0.01341,6.608333
58,1.0,1.0,1.0,1.0,0.231205,0.42307,0.012693,6.616667
59,1.0,1.0,1.0,1.0,0.246725,0.429624,0.011798,6.625
60,1.0,1.0,1.0,1.0,0.262023,0.436476,0.011142,6.633333
61,1.0,1.0,1.0,1.0,0.276993,0.443605,0.010366,6.641667
62,1.0,1.0,1.0,1.0,0.291716,0.450955,0.009728,6.65
63,1.0,1.0,1.0,1.0,0.307009,0.460616,0.00942,6.658333
64,1.0,1.0,1.0,1.0,0.320795,0.468381,0.008769,6.666667
65,1.0,1.0,1.0,1.0,0.332784,0.474543,0.007323,6.675
66,1.0,1.0,1.0,1.0,0.346122,0.484337,0.008,6.683333
67,1.0,1.0,1.0,1.0,0.358098,0.492473,0.00766,6.691667
68,1.0,1.0,1.0,1.0,0.36924,0.500555,0.007426,6.7
