,index,Mean Squared Error,Mean Squared Error dB,Error in Filter Std,Occlusion Start,Occlusion End,Occlusion Duration
0,0.0,0.00017614392452667895,-37.54132331705228,100.0,100.0,100.0,0.0
1,1.0,0.00015513545868597582,-38.09288925902587,100.0,100.0,110.0,10.0
2,2.0,0.00013863626587061148,-38.58123147738081,100.0,100.0,120.0,20.0
3,3.0,0.0001490843637790996,-38.26567903700283,100.0,100.0,130.0,30.0
4,4.0,0.00015914857692133087,-37.981972404107225,99.83361064891847,100.0,140.0,40.0
5,5.0,0.00015444690283082307,-38.112207963102136,100.0,100.0,150.0,50.0
6,6.0,0.00021322045241410243,-36.711711394927086,100.0,100.0,160.0,60.0
7,7.0,0.0001778818799054013,-37.498682894534376,99.83361064891847,100.0,170.0,70.0
8,8.0,0.00028447645795979463,-35.459536681131866,99.50083194675541,100.0,180.0,80.0
9,9.0,0.0002705011588074712,-35.67830870067163,97.67054908485858,100.0,190.0,90.0
