,index,Mean Squared Error,Mean Squared Error dB,Error in Filter Std,Occlusion Start,Occlusion End,Occlusion Duration,System Noise,Meaned Filter Variance
0,0.0,0.0003974946387335524,-34.00668724577665,85.32093137858816,1000.0,1000.0,0.0,0.5,0.012180697305358455
1,1.0,0.0005801416829394289,-32.36465929532863,85.19773315264261,1000.0,1500.0,500.0,0.5,0.013126205917802806
2,2.0,0.0015771711919862004,-28.021211641854798,84.36614512751017,1000.0,2000.0,1000.0,0.5,0.01672279567766913
3,3.0,0.003895771842739593,-24.094064856591025,83.61463594924233,1000.0,2500.0,1500.0,0.5,0.025452270666910144
4,4.0,0.006866316616885397,-21.632761744325713,82.54281138351608,1000.0,3000.0,2000.0,0.5,0.04340362179167231
5,5.0,0.009020097421002175,-20.447887718621395,82.7768880128126,1000.0,3500.0,2500.0,0.5,0.0787074203471231
6,6.0,0.011329734105879783,-19.457802823435056,83.12800295675741,1000.0,4000.0,3000.0,0.5,0.1603782526976277
7,7.0,0.04804503036813629,-13.183515277730592,20.37698657139337,1000.0,4500.0,3500.0,0.5,475.65393886071763
8,8.0,0.052233088309909366,-12.820542955051353,83.01712455340643,1000.0,5000.0,4000.0,0.5,9563.231602479244
9,9.0,0.09530167196192625,-10.20899480080782,26.48761857829247,1000.0,5500.0,4500.0,0.5,44538.4617947755
10,10.0,0.11861829841388521,-9.258483102365952,29.573734138228406,1000.0,6000.0,5000.0,0.5,123536.67440441014
11,11.0,0.14265058390543103,-8.457264463245519,32.647529875569795,1000.0,6500.0,5500.0,0.5,264917.2546437522
12,12.0,0.16632099538457396,-7.790529245379733,35.73364543550573,1000.0,7000.0,6000.0,0.5,487085.449874345
13,13.0,0.19053409527071075,-7.200272978729293,38.80744117284711,1000.0,7500.0,6500.0,0.5,807401.1696068976
14,14.0,0.2150576859185397,-6.674450316387798,41.88739682148577,1000.0,8000.0,7000.0,0.5,1246064.9736984826
15,15.0,0.2399933528831416,-6.198007868140184,44.97351238142171,1000.0,8500.0,7500.0,0.5,1819799.6597919723
16,16.0,0.26450780929118284,-5.775615013906017,48.053468030060365,1000.0,9000.0,8000.0,0.5,2546370.5502186194
17,17.0,0.2893872713697247,-5.3852057513633955,51.139583589996306,1000.0,9500.0,8500.0,0.5,3447912.539426543
