,index,Mean Squared Error,Mean Squared Error dB,Error in Filter Std,Occlusion Start,Occlusion End,Occlusion Duration,System Noise,Meaned Filter Variance,Filter Crashed,Crashed At
0,0.0,8.723420198404392e-05,-40.59313207490572,70.02587162744857,1000.0,1000.0,0.0,0.15,0.0010136557570754165,0.0,0.0
1,1.0,0.00012105925698673079,-39.17001995941004,69.87803375631391,1000.0,1300.0,300.0,0.15,0.001110090822270221,0.0,0.0
2,2.0,0.0003382545684219149,-34.70756329166317,69.87187384501664,1000.0,1600.0,600.0,0.15,0.0013998792000604638,0.0,0.0
3,3.0,0.0008267546839051623,-30.826233359505117,68.81236910188493,1000.0,1900.0,900.0,0.15,0.0019726078431132068,0.0,0.0
4,4.0,0.001706388912240593,-27.679219795044617,68.36885548848096,1000.0,2200.0,1200.0,0.15,0.0029782925845235043,0.0,0.0
5,5.0,0.00310889749848833,-25.07393596572038,68.29493655291364,1000.0,2500.0,1500.0,0.15,0.004622588028432285,0.0,0.0
6,6.0,0.004861050231026386,-23.13269891177079,67.31551065664655,1000.0,2800.0,1800.0,0.15,0.0071636312539220745,0.0,0.0
7,7.0,0.006661577468646727,-21.76422917254968,65.99112972773192,1000.0,3100.0,2100.0,0.15,0.010901327714070423,0.0,0.0
8,8.0,0.00816895713543564,-20.878333827863287,66.25600591351485,1000.0,3400.0,2400.0,0.15,0.016337610654253053,0.0,0.0
9,9.0,0.009104308821655398,-20.40753019263359,66.52088209929778,1000.0,3700.0,2700.0,0.15,0.023928571952386932,0.0,0.0
10,10.0,0.009730359661192662,-20.11871106701379,67.01367500307995,1000.0,4000.0,3000.0,0.15,0.03494458058195223,0.0,0.0
11,11.0,0.01076332848017083,-19.68053405524938,66.60096094616237,1000.0,4300.0,3300.0,0.15,0.051500217633647954,0.0,0.0
12,12.0,0.012825850936186328,-18.9191381181999,66.04040901811014,1000.0,4600.0,3600.0,0.15,0.07723543793689461,0.0,0.0
13,13.0,0.015752310756075527,-18.0265572917583,66.08352839719109,1000.0,4900.0,3900.0,0.15,0.12001365574342046,0.0,0.0
14,14.0,0.01900972745531656,-17.210241096206477,66.57632130097326,1000.0,5200.0,4200.0,0.15,0.1990477103408343,0.0,0.0
15,15.0,0.02232885936362927,-16.511334616457194,67.5187877294567,1000.0,5500.0,4500.0,0.15,0.3653776778620377,0.0,0.0
16,16.0,0.02715591106654265,-15.661356222753396,67.86990267340151,1000.0,5800.0,4800.0,0.15,0.6713867142874178,0.0,0.0
17,17.0,0.03399682043953892,-14.685616985499212,69.07108537637058,1000.0,6100.0,5100.0,0.15,1.0136656622476579,0.0,0.0
18,18.0,0.040446705084490026,-13.931168516019717,69.24356289269434,1000.0,6400.0,5400.0,0.15,1.8127187406106648,0.0,0.0
19,19.0,0.059650279850926545,-12.243875144843678,25.31723543180978,1000.0,6700.0,5700.0,0.15,29.9375362192217,1.0,6564.0
20,20.0,0.059650279850926545,-12.243875144843678,25.31723543180978,1000.0,7000.0,6000.0,0.15,29.9375362192217,1.0,6564.0
21,21.0,0.059650279850926545,-12.243875144843678,25.31723543180978,1000.0,7300.0,6300.0,0.15,29.9375362192217,1.0,6564.0
22,22.0,0.059650279850926545,-12.243875144843678,25.31723543180978,1000.0,7600.0,6600.0,0.15,29.9375362192217,1.0,6564.0
23,23.0,0.059650279850926545,-12.243875144843678,25.31723543180978,1000.0,7900.0,6900.0,0.15,29.9375362192217,1.0,6564.0
24,24.0,0.059650279850926545,-12.243875144843678,25.31723543180978,1000.0,8200.0,7200.0,0.15,29.9375362192217,1.0,6564.0
25,25.0,0.059650279850926545,-12.243875144843678,25.31723543180978,1000.0,8500.0,7500.0,0.15,29.9375362192217,1.0,6564.0
26,26.0,0.059650279850926545,-12.243875144843678,25.31723543180978,1000.0,8800.0,7800.0,0.15,29.9375362192217,1.0,6564.0
27,27.0,0.059650279850926545,-12.243875144843678,25.31723543180978,1000.0,9100.0,8100.0,0.15,29.9375362192217,1.0,6564.0
28,28.0,0.059650279850926545,-12.243875144843678,25.31723543180978,1000.0,9400.0,8400.0,0.15,29.9375362192217,1.0,6564.0
29,29.0,0.059650279850926545,-12.243875144843678,25.31723543180978,1000.0,9700.0,8700.0,0.15,29.9375362192217,1.0,6564.0
