,index,Mean Squared Error,Mean Squared Error dB,Error in Filter Std,Occlusion Start,Occlusion End,Occlusion Duration,System Noise,Meaned Filter Variance,Filter Crashed,Crashed At
0,0.0,0.0004754455550712281,-33.22899208455116,84.64334113588764,1000.0,1000.0,0.0,0.5,0.012023010850041827,0.0,0.0
1,1.0,0.000527530230067351,-32.77752648115084,84.50166317605027,1000.0,1300.0,300.0,0.5,0.012375670457766481,0.0,0.0
2,2.0,0.0007868597778489529,-31.04102654085978,84.42774424048294,1000.0,1600.0,600.0,0.5,0.013406377105258606,0.0,0.0
3,3.0,0.0013737474274405485,-28.620931078528354,83.89799186891709,1000.0,1900.0,900.0,0.5,0.015483608450719732,0.0,0.0
4,4.0,0.0024179122613261273,-26.165594624137295,83.35591967475668,1000.0,2200.0,1200.0,0.5,0.019240779048650507,0.0,0.0
5,5.0,0.003983389945128195,-23.997471772140642,82.85696685967721,1000.0,2500.0,1500.0,0.5,0.02530827048290419,0.0,0.0
6,6.0,0.005783663654458869,-22.37796971118062,81.82210176173463,1000.0,2800.0,1800.0,0.5,0.034872686906726263,0.0,0.0
7,7.0,0.00743674456488474,-21.28617135275483,82.17937661697673,1000.0,3100.0,2100.0,0.5,0.04963687613749306,0.0,0.0
8,8.0,0.008732072799659889,-20.588826522163593,82.03153874584206,1000.0,3400.0,2400.0,0.5,0.07191746078320034,0.0,0.0
9,9.0,0.009837520946817923,-20.07114329898165,82.46273253665147,1000.0,3700.0,2700.0,0.5,0.10549065411759452,0.0,0.0
10,10.0,0.011430486446710054,-19.419352869602267,82.46273253665147,1000.0,4000.0,3000.0,0.5,0.16311552960259004,0.0,0.0
11,11.0,0.01429611202323929,-18.447820573907688,82.44425280275965,1000.0,4300.0,3300.0,0.5,0.26815629306918554,0.0,0.0
12,12.0,0.018328459641079205,-17.368740324458248,82.7276087224344,1000.0,4600.0,3600.0,0.5,0.4836139641655756,0.0,0.0
13,13.0,0.022718150571258946,-16.436270263672316,83.01712455340643,1000.0,4900.0,3900.0,0.5,0.8288073452627037,0.0,0.0
14,14.0,0.02960582891593199,-15.28622774859787,83.39903905383763,1000.0,5200.0,4200.0,0.5,1.2383672870241786,0.0,0.0
15,15.0,0.03516578108467526,-14.538797318124395,84.3538253049156,1000.0,5500.0,4500.0,0.5,2.1726486423667115,0.0,0.0
16,16.0,0.05366738325825935,-12.70289579749364,26.074904521374894,1000.0,5800.0,4800.0,0.5,95960221.00093104,1.0,16233.0
17,17.0,0.05366738325825935,-12.70289579749364,26.074904521374894,1000.0,6100.0,5100.0,0.5,95960221.00093104,1.0,16233.0
18,18.0,0.05366738325825935,-12.70289579749364,26.074904521374894,1000.0,6400.0,5400.0,0.5,95960221.00093104,1.0,16233.0
19,19.0,0.05366738325825935,-12.70289579749364,26.074904521374894,1000.0,6700.0,5700.0,0.5,95960221.00093104,1.0,16233.0
20,20.0,0.05366738325825935,-12.70289579749364,26.074904521374894,1000.0,7000.0,6000.0,0.5,95960221.00093104,1.0,16233.0
21,21.0,0.05366738325825935,-12.70289579749364,26.074904521374894,1000.0,7300.0,6300.0,0.5,95960221.00093104,1.0,16233.0
22,22.0,0.05366738325825935,-12.70289579749364,26.074904521374894,1000.0,7600.0,6600.0,0.5,95960221.00093104,1.0,16233.0
23,23.0,0.05366738325825935,-12.70289579749364,26.074904521374894,1000.0,7900.0,6900.0,0.5,95960221.00093104,1.0,16233.0
24,24.0,0.05366738325825935,-12.70289579749364,26.074904521374894,1000.0,8200.0,7200.0,0.5,95960221.00093104,1.0,16233.0
25,25.0,0.05366738325825935,-12.70289579749364,26.074904521374894,1000.0,8500.0,7500.0,0.5,95960221.00093104,1.0,16233.0
26,26.0,0.05366738325825935,-12.70289579749364,26.074904521374894,1000.0,8800.0,7800.0,0.5,95960221.00093104,1.0,16233.0
27,27.0,0.05366738325825935,-12.70289579749364,26.074904521374894,1000.0,9100.0,8100.0,0.5,95960221.00093104,1.0,16233.0
28,28.0,0.05366738325825935,-12.70289579749364,26.074904521374894,1000.0,9400.0,8400.0,0.5,95960221.00093104,1.0,16233.0
29,29.0,0.05366738325825935,-12.70289579749364,26.074904521374894,1000.0,9700.0,8700.0,0.5,95960221.00093104,1.0,16233.0
