,index,Mean Squared Error,Mean Squared Error dB,Error in Filter Std,Occlusion Start,Occlusion End,Occlusion Duration,System Noise,Meaned Filter Variance,Filter Crashed,Crashed At
0,0.0,6.300226184555102e-05,-42.00643858651044,96.6058888752002,1000.0,1000.0,0.0,0.5,0.001878312910392644,0.0,0.0
1,1.0,9.500108935473174e-05,-40.22271414731822,96.34101268941727,1000.0,1300.0,300.0,0.5,0.0021971613834802298,0.0,0.0
2,2.0,0.0003089048153513477,-35.101753216622306,95.92213872120242,1000.0,1600.0,600.0,0.5,0.0031571775862773853,0.0,0.0
3,3.0,0.0007873343939620221,-31.038407763978697,95.3307872366638,1000.0,1900.0,900.0,0.5,0.005058693030595712,0.0,0.0
4,4.0,0.0016454652085301565,-27.837112959299894,94.24048293704571,1000.0,2200.0,1200.0,0.5,0.008418050749044899,0.0,0.0
5,5.0,0.003018667328113691,-25.201847457133326,94.20352346926204,1000.0,2500.0,1500.0,0.5,0.013990585076295102,0.0,0.0
6,6.0,0.004754153161715233,-23.229268309763114,93.32881606504866,1000.0,2800.0,1800.0,0.5,0.02281390684177038,0.0,0.0
7,7.0,0.006592683346539585,-21.809377833724987,92.49722803991622,1000.0,3100.0,2100.0,0.5,0.036215619705483794,0.0,0.0
8,8.0,0.008189453066629302,-20.867451016677162,92.20155229764691,1000.0,3400.0,2400.0,0.5,0.056627671381271165,0.0,0.0
9,9.0,0.009184531517755877,-20.369429911755276,92.02907478132315,1000.0,3700.0,2700.0,0.5,0.08798696573215799,0.0,0.0
10,10.0,0.009749716794793155,-20.110079993009403,92.04139460391771,1000.0,4000.0,3000.0,0.5,0.13854426460239658,0.0,0.0
11,11.0,0.010582403948526645,-19.754156647215797,92.04139460391771,1000.0,4300.0,3300.0,0.5,0.22994736427523269,0.0,0.0
12,12.0,0.01251453997775263,-19.02585110002661,92.04139460391771,1000.0,4600.0,3600.0,0.5,0.41930510876557237,0.0,0.0
13,13.0,0.014871644741418645,-18.276409976770093,91.62868054700012,1000.0,4900.0,3900.0,0.5,0.769025113199187,0.0,0.0
14,14.0,0.018428806627878415,-17.345027869571364,92.04755451521498,1000.0,5200.0,4200.0,0.5,1.152276894369208,0.0,0.0
15,15.0,0.02309713577626466,-16.364418726484466,92.02907478132315,1000.0,5500.0,4500.0,0.5,6.11645342361446,0.0,0.0
16,16.0,0.040418663309887574,-13.934180531843692,27.20216828877664,1000.0,5800.0,4800.0,0.5,143.60201310198244,1.0,5504.0
17,17.0,0.040418663309887574,-13.934180531843692,27.20216828877664,1000.0,6100.0,5100.0,0.5,143.60201310198244,1.0,5504.0
18,18.0,0.040418663309887574,-13.934180531843692,27.20216828877664,1000.0,6400.0,5400.0,0.5,143.60201310198244,1.0,5504.0
19,19.0,0.040418663309887574,-13.934180531843692,27.20216828877664,1000.0,6700.0,5700.0,0.5,143.60201310198244,1.0,5504.0
20,20.0,0.040418663309887574,-13.934180531843692,27.20216828877664,1000.0,7000.0,6000.0,0.5,143.60201310198244,1.0,5504.0
21,21.0,0.040418663309887574,-13.934180531843692,27.20216828877664,1000.0,7300.0,6300.0,0.5,143.60201310198244,1.0,5504.0
22,22.0,0.040418663309887574,-13.934180531843692,27.20216828877664,1000.0,7600.0,6600.0,0.5,143.60201310198244,1.0,5504.0
23,23.0,0.040418663309887574,-13.934180531843692,27.20216828877664,1000.0,7900.0,6900.0,0.5,143.60201310198244,1.0,5504.0
24,24.0,0.040418663309887574,-13.934180531843692,27.20216828877664,1000.0,8200.0,7200.0,0.5,143.60201310198244,1.0,5504.0
25,25.0,0.040418663309887574,-13.934180531843692,27.20216828877664,1000.0,8500.0,7500.0,0.5,143.60201310198244,1.0,5504.0
26,26.0,0.040418663309887574,-13.934180531843692,27.20216828877664,1000.0,8800.0,7800.0,0.5,143.60201310198244,1.0,5504.0
27,27.0,0.040418663309887574,-13.934180531843692,27.20216828877664,1000.0,9100.0,8100.0,0.5,143.60201310198244,1.0,5504.0
28,28.0,0.040418663309887574,-13.934180531843692,27.20216828877664,1000.0,9400.0,8400.0,0.5,143.60201310198244,1.0,5504.0
29,29.0,0.040418663309887574,-13.934180531843692,27.20216828877664,1000.0,9700.0,8700.0,0.5,143.60201310198244,1.0,5504.0
