Frame,Time,Pendulum_X,Pendulum_Y,Pendulum_Z,Top_X,Top_Y,Top_Z
0,0,-0.01207,0.377345,0.029883,-0.001063,1.021319,0.024707
1,0.008333,-0.012059,0.377345,0.029864,-0.001062,1.021324,0.024706
2,0.016667,-0.012062,0.377331,0.029863,-0.001053,1.021319,0.024703
3,0.025,-0.012053,0.377341,0.029856,-0.00106,1.021317,0.024712
4,0.033333,-0.012029,0.377333,0.029841,-0.001054,1.021314,0.024709
5,0.041667,-0.012014,0.377341,0.029835,-0.001056,1.021314,0.024704
6,0.05,-0.012007,0.377326,0.029813,-0.001056,1.02132,0.024706
7,0.058333,-0.011996,0.377328,0.029802,-0.001052,1.021319,0.024711
8,0.066667,-0.011987,0.377319,0.029789,-0.001055,1.02132,0.024712
9,0.075,-0.011966,0.377324,0.029775,-0.001059,1.021323,0.024712
10,0.083333,-0.011946,0.377327,0.029766,-0.001058,1.021316,0.024704
11,0.091667,-0.01193,0.377328,0.029755,-0.001051,1.021314,0.024707
12,0.1,-0.011901,0.377324,0.029738,-0.001057,1.021314,0.024704
13,0.108333,-0.011885,0.377322,0.029724,-0.001062,1.021316,0.02471
14,0.116667,-0.011856,0.377315,0.029708,-0.001058,1.021318,0.02471
15,0.125,-0.011838,0.37732,0.029683,-0.00106,1.021317,0.024708
16,0.133333,-0.011809,0.377317,0.029672,-0.001062,1.021319,0.024708
17,0.141667,-0.011773,0.377308,0.029646,-0.001057,1.021314,0.024708
18,0.15,-0.011743,0.377313,0.029636,-0.001054,1.021317,0.024709
19,0.158333,-0.011712,0.377318,0.029618,-0.001049,1.021317,0.0247
20,0.166667,-0.01168,0.377307,0.029595,-0.00106,1.021316,0.024707
21,0.175,-0.011599,0.377359,0.0296,-0.001054,1.021317,0.024711
22,0.183333,-0.011543,0.377333,0.029511,-0.00106,1.021313,0.024707
23,0.191667,-0.011524,0.377346,0.029465,-0.001062,1.021318,0.024709
24,0.2,-0.011465,0.37731,0.029464,-0.001068,1.021315,0.02471
25,0.208333,-0.011388,0.377355,0.029489,-0.001061,1.021315,0.024701
26,0.216667,-0.011313,0.377312,0.029483,-0.001059,1.021315,0.02471
27,0.225,-0.011341,0.377298,0.029407,-0.001063,1.021315,0.024705
28,0.233333,-0.011286,0.377281,0.029371,-0.001056,1.021319,0.024711
29,0.241667,-0.011188,0.377282,0.029411,-0.001065,1.021312,0.024711
30,0.25,-0.011047,0.377343,0.029411,-0.001059,1.021311,0.024706
31,0.258333,-0.011009,0.377304,0.029419,-0.001059,1.021317,0.024708
32,0.266667,-0.010955,0.377342,0.029372,-0.001065,1.021315,0.024711
33,0.275,-0.010912,0.377329,0.029354,-0.00106,1.021311,0.024705
