Frame,Time,Pendulum_X,Pendulum_Y,Pendulum_Z,Top_X,Top_Y,Top_Z
480,4,-0.540483,0.660845,-0.016863,0.002691,1.021551,0.025232
481,4.008333,-0.538707,0.65302,-0.004041,0.00261,1.021505,0.025299
482,4.016667,-0.535849,0.644649,0.00898,0.002219,1.021293,0.02525
483,4.025,-0.53165,0.636937,0.022405,0.001393,1.020826,0.025219
484,4.033333,-0.520181,0.630133,0.038101,0.000765,1.020749,0.02541
485,4.041667,-0.516865,0.621403,0.047247,0.000013,1.02106,0.025474
486,4.05,-0.506086,0.614233,0.06178,-0.000378,1.021499,0.025563
487,4.058333,-0.501661,0.604448,0.070791,-0.000484,1.021457,0.025652
488,4.066667,-0.493603,0.596288,0.08132,-0.000514,1.020892,0.025612
489,4.075,-0.485906,0.58637,0.091938,-0.000412,1.020626,0.025772
490,4.083333,-0.476232,0.577834,0.10249,-0.000533,1.020509,0.025731
491,4.091667,-0.465922,0.569292,0.112771,-0.000816,1.020501,0.025574
492,4.1,-0.454874,0.560784,0.122816,-0.001057,1.02062,0.02558
493,4.108333,-0.442927,0.55233,0.133445,-0.001138,1.020708,0.025584
494,4.116667,-0.430179,0.544139,0.144344,-0.00104,1.020823,0.025528
495,4.125,-0.416901,0.535746,0.155598,-0.00078,1.020707,0.025466
496,4.133333,-0.402836,0.527567,0.166865,-0.000644,1.020615,0.02547
497,4.141667,-0.387894,0.519388,0.178127,-0.000657,1.02053,0.025506
498,4.15,-0.371955,0.511416,0.18938,-0.000813,1.02058,0.025495
499,4.158333,-0.35554,0.504524,0.199947,-0.001047,1.020642,0.025541
500,4.166667,-0.338555,0.496735,0.209343,-0.001316,1.020611,0.025489
501,4.175,-0.321606,0.489429,0.218053,-0.001381,1.020616,0.02557
502,4.183333,-0.304589,0.482424,0.226249,-0.001353,1.020513,0.025609
503,4.191667,-0.286799,0.475872,0.233712,-0.001367,1.020311,0.025624
504,4.2,-0.26906,0.470215,0.24071,-0.001427,1.020273,0.025649
505,4.208333,-0.250107,0.464489,0.247534,-0.001558,1.020225,0.025702
506,4.216667,-0.230397,0.45911,0.25437,-0.001462,1.020154,0.025708
507,4.225,-0.209871,0.454714,0.261342,-0.00105,1.020163,0.025844
508,4.233333,-0.188088,0.449322,0.267731,-0.000738,1.020195,0.02601
509,4.241667,-0.166823,0.446247,0.274073,-0.000514,1.020088,0.025908
510,4.25,-0.145024,0.443278,0.279427,-0.000432,1.02008,0.025905
511,4.258333,-0.12337,0.440892,0.284267,-0.000416,1.020082,0.025904
512,4.266667,-0.101638,0.43902,0.288133,-0.000403,1.02011,0.02589
513,4.275,-0.080011,0.437463,0.291448,-0.000344,1.020222,0.02588
514,4.283333,-0.058406,0.436032,0.293471,-0.000306,1.02022,0.025875
515,4.291667,-0.036777,0.43547,0.295292,-0.000347,1.020124,0.025842
516,4.3,-0.014716,0.435088,0.296457,-0.000342,1.020205,0.025848
517,4.308333,0.007618,0.435869,0.297336,-0.000467,1.020122,0.025836
518,4.316667,0.029821,0.437531,0.297965,-0.000482,1.02022,0.02585
519,4.325,0.052163,0.439609,0.298211,-0.000586,1.020229,0.025872
520,4.333333,0.074464,0.442681,0.298142,-0.000458,1.020244,0.025858
521,4.341667,0.096354,0.445538,0.297121,-0.000386,1.020219,0.025858
522,4.35,0.118199,0.449546,0.295699,-0.000323,1.020126,0.025839
523,4.358333,0.139318,0.453522,0.293399,-0.000109,1.020295,0.025897
524,4.366667,0.159739,0.457756,0.290386,0.000067,1.020344,0.025979
525,4.375,0.179767,0.462599,0.287085,0.000245,1.020461,0.026026
526,4.383333,0.199651,0.467444,0.282723,0.000329,1.020453,0.02602
527,4.391667,0.219038,0.472923,0.277885,0.000392,1.020449,0.026007
528,4.4,0.238239,0.478787,0.272772,0.000433,1.020457,0.025994
529,4.408333,0.257113,0.485425,0.267444,0.000507,1.020516,0.026067
530,4.416667,0.275691,0.492533,0.262,0.000487,1.020553,0.026059
531,4.425,0.293527,0.499718,0.255138,0.000367,1.020546,0.025966
532,4.433333,0.310982,0.507577,0.248887,0.000221,1.020532,0.025867
