Frame,Time,Top_X,Top_Y,Top_Z,Pendulum_X,Pendulum_Y,Pendulum_Z
864,7.2,-0.007167,1.020277,0.024987,-0.079184,0.377297,0.019315
865,7.208333,-0.007063,1.020281,0.02497,-0.051775,0.373227,0.022521
866,7.216667,-0.007039,1.020281,0.024958,-0.020289,0.374264,0.024863
867,7.225,-0.007029,1.020272,0.024949,0.009168,0.374767,0.02734
868,7.233333,-0.007006,1.020282,0.024945,0.038802,0.376516,0.03044
869,7.241667,-0.006966,1.020279,0.024938,0.067718,0.378945,0.03386
870,7.25,-0.006937,1.020286,0.024925,0.09804,0.385187,0.035938
871,7.258333,-0.006843,1.020297,0.024992,0.126661,0.390077,0.040121
872,7.266667,-0.006804,1.020262,0.024942,0.155284,0.397539,0.043534
873,7.275,-0.006832,1.020296,0.024973,0.18309,0.405868,0.046536
874,7.283333,-0.006767,1.020287,0.024939,0.209092,0.414599,0.049243
875,7.291667,-0.006603,1.020398,0.024951,0.235604,0.425057,0.051665
876,7.3,-0.006276,1.020508,0.02497,0.263153,0.438796,0.054156
877,7.308333,-0.006095,1.020547,0.024931,0.28735,0.451468,0.057097
878,7.316667,-0.005777,1.020601,0.025044,0.311391,0.465616,0.060195
879,7.325,-0.005495,1.020713,0.024983,0.33498,0.479184,0.062226
880,7.333333,-0.00517,1.020856,0.024976,0.356876,0.494825,0.065009
881,7.341667,-0.005046,1.02097,0.02491,0.378385,0.509685,0.066376
882,7.35,-0.004895,1.021031,0.02488,0.398156,0.526202,0.068572
883,7.358333,-0.004742,1.021089,0.024859,0.417456,0.543251,0.070821
884,7.366667,-0.00459,1.021132,0.024839,0.43564,0.560673,0.07262
885,7.375,-0.004342,1.021114,0.024885,0.453095,0.578412,0.073885
886,7.383333,-0.004133,1.021093,0.024818,0.470037,0.597358,0.076286
887,7.391667,-0.003925,1.021196,0.024847,0.485071,0.614785,0.077207
888,7.4,-0.003604,1.021376,0.024955,0.499274,0.632898,0.078538
889,7.408333,-0.003455,1.021446,0.024919,0.512421,0.651184,0.079919
