Format Version,1.21,Take Name,Run_1_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.45.57 AM,Total Frames in Take,4156,Total Exported Frames,4156,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103,Unlabeled:104,Unlabeled:104,Unlabeled:104
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.025138,0.412046,0.030067,-0.017988,1.025041,0.021727,1.864625,0.017712,0.351738,,,,,,
1,0.008333,-0.025120,0.412058,0.030000,-0.017981,1.025041,0.021728,1.865067,0.017854,0.351839,,,,,,
2,0.016667,-0.025103,0.412058,0.029981,-0.017995,1.025039,0.021732,1.864655,0.017700,0.351728,,,,,,
3,0.025000,-0.025078,0.412045,0.029958,-0.017990,1.025029,0.021723,1.864644,0.017692,0.351730,,,,,,
4,0.033333,-0.025051,0.412048,0.029940,-0.018001,1.025050,0.021686,1.865072,0.017853,0.351841,,,,,,
5,0.041667,-0.025037,0.412040,0.029909,-0.017984,1.025042,0.021729,1.864607,0.017734,0.351748,,,,,,
6,0.050000,-0.025002,0.412043,0.029886,-0.017996,1.025053,0.021688,1.864584,0.017740,0.351754,,,,,,
7,0.058333,-0.024983,0.412038,0.029864,-0.017979,1.025039,0.021724,1.864617,0.017724,0.351744,,,,,,
8,0.066667,-0.024956,0.412032,0.029843,-0.017986,1.025036,0.021729,1.864593,0.017746,0.351753,,,,,,
9,0.075000,-0.024937,0.412033,0.029829,-0.017984,1.025040,0.021728,1.865055,0.017869,0.351845,,,,,,
10,0.083333,-0.024926,0.412070,0.029768,-0.017988,1.025044,0.021727,1.864659,0.017700,0.351728,,,,,,
11,0.091667,-0.024905,0.412071,0.029753,-0.017982,1.025037,0.021726,1.865110,0.017825,0.351823,,,,,,
12,0.100000,-0.024886,0.412072,0.029729,-0.017992,1.025043,0.021723,1.864537,0.017757,0.351765,,,,,,
13,0.108333,-0.024862,0.412067,0.029713,-0.017992,1.025040,0.021728,1.864539,0.017765,0.351767,,,,,,
14,0.116667,-0.024836,0.412067,0.029692,-0.017990,1.025039,0.021726,1.865031,0.017882,0.351855,,,,,,
15,0.125000,-0.024787,0.412035,0.029652,-0.017983,1.025036,0.021726,1.864617,0.017724,0.351744,,,,,,
16,0.133333,-0.024745,0.412075,0.029639,-0.017988,1.025035,0.021725,1.864618,0.017729,0.351745,,,,,,
17,0.141667,-0.024726,0.412085,0.029624,-0.017997,1.025032,0.021727,1.864556,0.017761,0.351761,,,,,,
18,0.150000,-0.024686,0.412070,0.029566,-0.017994,1.025038,0.021714,1.865163,0.017829,0.351818,,,,,,
19,0.158333,-0.024665,0.412072,0.029555,-0.017999,1.025030,0.021706,1.864619,0.017723,0.351741,,,,,,
20,0.166667,-0.024643,0.412066,0.029542,-0.018004,1.025034,0.021710,1.864556,0.017752,0.351758,,,,,,
21,0.175000,-0.024620,0.412112,0.029513,-0.018000,1.025040,0.021712,1.864639,0.017694,0.351733,,,,,,
22,0.183333,-0.024608,0.412072,0.029511,-0.017999,1.025030,0.021710,1.864669,0.017691,0.351728,,,,,,
23,0.191667,-0.024573,0.412100,0.029482,-0.017992,1.025035,0.021715,1.864538,0.017757,0.351765,,,,,,
24,0.200000,-0.024558,0.412108,0.029469,-0.018001,1.025035,0.021720,1.864568,0.017760,0.351760,,,,,,
