Format Version,1.21,Take Name,Run_2_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.46.50 AM,Total Frames in Take,6637,Total Exported Frames,6637,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.027566,0.412399,0.008764,-0.017980,1.025039,0.021653,1.864485,0.017821,0.351789,,,
1,0.008333,-0.027554,0.412308,0.009419,-0.017982,1.025046,0.021658,1.864960,0.017976,0.351890,,,
2,0.016667,-0.027657,0.412363,0.010028,-0.017964,1.025041,0.021650,1.864521,0.017811,0.351782,,,
3,0.025000,-0.027609,0.412339,0.010613,-0.017922,1.025009,0.021633,1.864472,0.017853,0.351799,,,
4,0.033333,-0.027678,0.412325,0.011123,-0.017915,1.024999,0.021627,1.864981,0.017936,0.351875,,,
5,0.041667,-0.027828,0.412403,0.011602,-0.017901,1.025005,0.021630,1.865146,0.017839,0.351825,,,
6,0.050000,-0.027928,0.412360,0.012260,-0.017901,1.025006,0.021630,1.864450,0.017860,0.351804,,,
7,0.058333,-0.027775,0.412325,0.013028,-0.017907,1.025001,0.021623,1.864490,0.017829,0.351791,,,
8,0.066667,-0.027822,0.412264,0.013627,-0.017889,1.024978,0.021677,1.864953,0.017945,0.351883,,,
9,0.075000,-0.027821,0.412295,0.014346,-0.017891,1.024980,0.021684,1.865002,0.017924,0.351867,,,
10,0.083333,-0.027933,0.412279,0.014997,-0.017908,1.024989,0.021637,1.865056,0.017895,0.351853,,,
11,0.091667,-0.027932,0.412165,0.015651,-0.017894,1.024971,0.021685,1.864964,0.017949,0.351884,,,
12,0.100000,-0.027870,0.412247,0.016454,-0.017908,1.024974,0.021691,1.864452,0.017840,0.351801,,,
13,0.108333,-0.027956,0.412272,0.017175,-0.017931,1.024997,0.021648,1.865016,0.017926,0.351866,,,
14,0.116667,-0.027856,0.412206,0.018005,-0.017938,1.024992,0.021642,1.865051,0.017914,0.351860,,,
15,0.125000,-0.027894,0.412195,0.018635,-0.017938,1.024993,0.021639,1.864540,0.017795,0.351772,,,
16,0.133333,-0.027890,0.412239,0.019460,-0.017934,1.024990,0.021638,1.864451,0.017847,0.351801,,,
17,0.141667,-0.027855,0.412233,0.020314,-0.017974,1.025032,0.021648,1.865003,0.017915,0.351865,,,
18,0.150000,-0.027684,0.412127,0.021166,-0.017921,1.025006,0.021627,1.865045,0.017897,0.351855,,,
19,0.158333,-0.027791,0.412269,0.021765,-0.017967,1.025047,0.021648,1.865037,0.017922,0.351863,,,
20,0.166667,-0.027665,0.412217,0.022852,-0.017910,1.025005,0.021624,1.865144,0.017859,0.351827,,,
21,0.175000,-0.027534,0.412152,0.023673,-0.017910,1.025005,0.021619,1.864560,0.017786,0.351769,,,
22,0.183333,-0.027519,0.412216,0.024410,-0.017910,1.025008,0.021620,1.864999,0.017929,0.351871,,,
23,0.191667,-0.027605,0.412315,0.025205,-0.017904,1.025005,0.021634,1.864556,0.017802,0.351773,,,
24,0.200000,-0.027391,0.412244,0.026224,-0.017909,1.024991,0.021635,1.865114,0.017876,0.351838,,,
25,0.208333,-0.027315,0.412278,0.026968,-0.017913,1.024990,0.021648,1.865099,0.017865,0.351837,,,
26,0.216667,-0.027373,0.412315,0.027874,-0.017898,1.024966,0.021694,1.864516,0.017841,0.351789,,,
27,0.225000,-0.027250,0.412340,0.028738,-0.017898,1.024951,0.021704,1.865037,0.017884,0.351852,,,
