Format Version,1.21,Take Name,Run_3_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.47.58 AM,Total Frames in Take,4035,Total Exported Frames,4035,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.017090,1.024662,0.022081,0.393857,0.576184,-0.095799,1.864983,0.017962,0.351882
1,0.008333,-0.017047,1.024734,0.022095,0.394257,0.576336,-0.095965,1.865051,0.017947,0.351868
2,0.016667,-0.017079,1.024668,0.022067,0.394648,0.576374,-0.096148,1.865049,0.017944,0.351867
3,0.025000,-0.016970,1.024709,0.022129,0.395074,0.576494,-0.096232,1.864968,0.017976,0.351888
4,0.033333,-0.016809,1.024729,0.022136,0.395461,0.576564,-0.096270,1.865147,0.017871,0.351835
5,0.041667,-0.016740,1.024733,0.022139,0.395836,0.576637,-0.096113,1.865031,0.017949,0.351870
6,0.050000,-0.016630,1.024694,0.022138,0.396164,0.576700,-0.096168,1.865074,0.017933,0.351861
7,0.058333,-0.016590,1.024686,0.022140,0.395559,0.577466,-0.095188,1.864986,0.017966,0.351884
8,0.066667,-0.016576,1.024669,0.022138,0.396086,0.577634,-0.094873,1.864970,0.017979,0.351890
9,0.075000,-0.016519,1.024602,0.022168,0.396493,0.577805,-0.094640,1.864990,0.017938,0.351873
10,0.083333,-0.016518,1.024598,0.022186,0.396933,0.578009,-0.094288,1.864987,0.017966,0.351884
11,0.091667,-0.016504,1.024537,0.022221,0.397227,0.578247,-0.094061,1.865047,0.017936,0.351865
12,0.100000,-0.016599,1.024513,0.022179,0.397467,0.578488,-0.093874,1.865052,0.017938,0.351864
13,0.108333,-0.016502,1.024451,0.022346,0.397621,0.578649,-0.093783,1.864981,0.017991,0.351890
14,0.116667,-0.016663,1.024382,0.022249,0.397937,0.578912,-0.093621,1.865029,0.017955,0.351873
15,0.125000,-0.016620,1.024482,0.022238,0.398115,0.579108,-0.093599,1.865082,0.017933,0.351859
16,0.133333,-0.016641,1.024422,0.022204,0.398369,0.579284,-0.093486,1.865000,0.017977,0.351884
17,0.141667,-0.016467,1.024437,0.022336,0.398497,0.579509,-0.093519,1.865017,0.017958,0.351878
