Format Version,1.21,Take Name,Run_4_Paketband,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-14 10.48.42 AM,Total Frames in Take,6333,Total Exported Frames,6333,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102,Unlabeled:103,Unlabeled:103,Unlabeled:103,Unlabeled:104,Unlabeled:104,Unlabeled:104,Unlabeled:107,Unlabeled:107,Unlabeled:107
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E35706B","8392B20CF49E35706B","8392B20CF49E35706B"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.059939,0.412776,0.022814,-0.017980,1.025010,0.021771,1.864940,0.017998,0.351898,,,,,,,,,
1,0.008333,-0.058782,0.412765,0.024748,-0.017988,1.025011,0.021769,1.864957,0.017996,0.351897,,,,,,,,,
2,0.016667,-0.057587,0.412580,0.026887,-0.017937,1.024966,0.021747,1.864939,0.018000,0.351900,,,,,,,,,
3,0.025000,-0.056485,0.412591,0.028775,-0.017992,1.025003,0.021769,1.864918,0.018017,0.351911,,,,,,,,,
4,0.033333,-0.055461,0.412628,0.030575,-0.017942,1.024965,0.021751,1.864923,0.018020,0.351910,,,,,,,,,
5,0.041667,-0.054019,0.412618,0.032745,-0.017986,1.025005,0.021769,1.864933,0.018003,0.351904,,,,,,,,,
6,0.050000,-0.052734,0.412579,0.034626,-0.017984,1.025008,0.021771,1.864945,0.018019,0.351905,,,,,,,,,
